"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.3064997018485","18.5092232400552","18.5466971855959","17.1936819797033","11.5430460348078","11.3229912230238","11.3430091616755","11.4771831087164","11.2920970499034","12.230469548754","10.7986680994975","10.3413384803578","9.16904182303383","9.38479580771821","9.3562321018201","9.71001179777312","9.26564058035311","9.39819198234112","9.39590568718206","12.2837259772012","12.0437077284519","11.9102932556784","10.9099638916146","11.9350654316666","12.0858534859076","13.1115978061212","13.4541585167703","12.3185519874739","11.4866903221706","12.5645600985114","14.9686182373692","15.793103571729",
"American Samoa","ASM","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.931126597784","16.2240961130032","18.272105526542","17.982899589146","17.3099631598709","18.5678957063331","19.1614219283235","17.295625672284","19.4743904131773","22.0026104792094","18.5229233610262","18.3226149391729","16.4627081824765","15.017484139502","15.3140825798079","17.7633481924421","19.5296834906784","17.8623822743262","17.5444879249386","17.584093139827","17.1728982949362","16.717047785009","16.2609425696925","15.7415037718045","16.0272307079025","15.2422043103746","15.0912881830592","19.3361136938612","",
"Australia","AUS","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","11.0937217841449","11.3178559235234","11.9687429727906","11.6784525790349","11.3688767587408","11.8872073470444","12.8045279304405","12.7736286376513","13.6019719949331","13.0522394895124","13.1689472971142","13.9032002377886","14.4091766184789","14.6082977057867","14.4461747457009","16.7915684293252","17.8766391918319","17.456654608956","17.8330065297264","17.3623801062728","17.214789281708","17.8101432818971","17.7395141479392","18.65265825458","18.3172347953052","19.2473629677441","19.4259800200872","19.3672866452014","18.4591921619373","17.7834799608993","17.6413611789241","18.6314826407281","19.4956637191139","19.3757808367193","18.8126980997426","18.63569256089","18.5783320225059","18.2649812801368","18.2593937748209","18.6748054355733","18.4697052072007","18.4759851519884","18.290314985834","18.3550643208994","18.2444825270374","18.3239524026787","18.2394904815678","18.1052923685362","18.0220039299395","18.3536159446776","18.7556603939979","18.5813199774676","18.8166588453621","18.7707370917502","18.689138037917","19.0984442233591","19.8692277341455","19.8216084801925","19.8956928528982","20.2605243055502","21.7420714928382","22.3019497514683",
"Austria","AUT","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","14.3153988801848","14.3930114246765","14.2445709952115","14.6867464368584","15.348540291242","16.7899777326513","17.1817693745386","17.0109076954887","17.6562142158354","17.5220942244756","17.5341440555041","17.9647048904059","18.3466781011049","18.3463214751647","18.3887310915946","18.5778439047332","18.7854382881422","18.7520822565685","18.5135052492305","18.1859860514548","17.9756738660758","18.1577955514132","18.4899116879537","19.3004158667799","19.4443661360991","19.5896579303121","19.5657433008979","19.6007911245516","19.5530546720414","19.8436668661919","19.2197165554154","18.9761681528468","18.8386965201083","18.979639912386","18.8913590714454","19.3462734216739","19.2582902718553","18.7447920696102","19.2721309580265","20.6842134754264","20.4925476679965","19.89656808887","19.8606923693557","19.9159427520344","19.8028420386289","19.7616905815254","19.6511011570073","19.4892640109278","19.3393825159642","19.4593875451778","21.069545841713","21.6901584338563",
"Azerbaijan","AZE","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5989085948158","19.4236526946108","17.7195493869422","30.140127388535","23.5111822791567","12.7940762958103","12.017858449828","12.6112148940886","15.1572400162762","15.6128314481736","15.1501663805345","13.6466250282188","12.4041237113402","12.3892814664521","12.9000492368291","10.4220403274107","8.53986407912003","9.66026692054089","8.49511176664042","11.1234077215848","10.8814317673378","10.1276832686917","10.5259600648111","10.2832491148465","10.8858730371216","12.4082383229128","12.8320634437288","11.3414124411056","10.4664635668981","11.1234709302752","16.2189420775689","13.4344270857452",
"Burundi","BDI","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","2.67857156523324","2.58620699847121","3.27868843244904","4.51127823425373","5.36912735204978","6.94510704275747","7.0991406703324","7.26555990000641","7.79975046787274","8.28576578741813","9.77160049154625","10.5845767208921","12.9235855784102","11.5827896415946","12.5827985067765","11.5459675984158","8.70704009763262","11.150975482059","13.7945349897943","12.8489010247825","9.21771444173027","9.06962398325043","10.6590645904156","8.31528542192374","7.81917814015283","7.83191993717172","9.83957842872865","9.69214042516666","10.7064831144218","10.1842788681871","10.8160802153932","10.768393283561","19.2375890021016","20.4914437774664","17.4139248520428","19.0502875515238","19.9923983276321","16.7736289381564","17.1414292853573","18.1598594642073","14.8566983263618","15.5330738165848","14.7329868449071","17.46133527299","19.2272662954525","14.099999668941","15.2","19.0000006815559","20.200001151146","19.7000012320278","21.9000002798828","22.900000496536","23.2998242944295","24.700169522601","25.9000061887709","22.4223834424569","23.4731936302723","25.086288811734","26.2102674584933","27.2447699999999","31.3443000000001","30.77247",
"Belgium","BEL","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","","","","","","","","","","","16.7887275608696","17.7720899474146","18.2877143675456","18.5683127538028","18.9309264818353","21.1481975967957","21.3052544709293","21.836019047853","22.6314880643124","22.9659052795549","22.8707603348627","24.1030980623394","23.7618826871375","23.4186755594308","23.3482159754814","22.8336885831274","22.687508927644","22.5216395173423","21.1432035444767","20.4558333384452","20.2172850732894","20.8629258399334","20.9609310665367","21.2946426523691","21.1019338255165","21.2989651245599","21.7183862211024","21.1513979156766","21.0949180608347","21.2820398534755","21.0401971476314","21.3136063380204","22.1388815392458","22.4843723439742","22.1972126513166","22.093997631255","21.9387885339603","21.6158948183584","22.6661446948071","24.191913477768","23.7326860900242","24.0494265732331","24.3033528607648","24.3127672571778","24.2338958514732","23.6150874463105","23.2620366238976","23.0324630867401","23.1414661163506","23.0260840497655","24.5409625330261","24.0140183901785",
"Benin","BEN","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","10.154439717883","10.1673019035612","10.8489920771159","10.6261734579732","9.13581731876019","8.8482979280316","8.22738368372008","9.21188945447672","8.99412488758258","8.92540812571392","9.73846488382712","10.0472007324133","10.1436000883903","9.96264266073984","8.61371534699504","9.25121675574385","8.59274336743383","8.30837051951837","8.31587542724965","8.02498182225647","8.64261205374082","9.15807413211855","10.4896780742547","14.4226166792559","13.6294383114451","15.3682469537862","15.2582730266091","15.5464031572569","13.1901490234151","11.0843237643575","17.5694732161861","16.1816148887447","15.7527458695796","15.2546525626767","15.6329615151681","14.4476469440652","13.5120955507393","13.2129732588972","13.1155135588307","8.14593689055722","8.08059450959748","8.08339019705914","7.78633266097782","8.82881759988085","8.80946780461131","8.9910736442313","9.6667347066507","9.56848525645387","10.2335884526485","11.2886208595087","11.2118694926743","11.0235419657792","11.1283007356691","11.0422342334299","10.1801970840633","11.4113801450627","10.2808187596981","10.4789842865023","10.4105053943384","10.3420632400446","11.3993621464496","10.376284316972",
"Burkina Faso","BFA","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","7.42652061799036","7.65368707769187","7.54839971644615","7.38639910682372","6.98224993873381","5.05104759671214","4.59710973929227","4.31956607499053","6.0585138769122","5.91215080696169","6.94499680740708","7.1359711958396","7.26553990634849","8.08218713174988","8.26565505828738","12.8924457015457","10.1323687257735","10.032371953129","10.0480543566992","10.7946973694178","9.22918835244672","9.25421566231758","13.7860096604093","14.3770613922595","13.0435475018617","17.3024484427189","18.9923328409924","19.9395756897688","20.0199480353779","20.1382242743815","21.0569952699417","21.6910996512529","21.7335283551021","21.3402148170525","26.0649175414308","25.1986855456088","24.389594090162","23.7332628818686","22.2973561174748","12.0583639805153","14.1091885003293","14.625601156611","14.5898515999372","13.5868608275023","14.2360467040752","13.7928275192666","15.1021200173216","16.6901098153908","14.6700928446474","15.2196246158513","14.457528015174","14.2866253805326","14.2545817669135","14.6555862871714","15.474778613438","15.9440802560458","16.5070965979117","17.7393231525305","18.419409475168","20.2434764808458","","",
